# ----------------------------------------
# OTexts.org
# Overview
# 20180101-20220410
# ----------------------------------------

Day Index,Page Views
03/07/2018,"10,494"
04/07/2018,"10,268"
05/07/2018,"8,013"
06/07/2018,"9,776"
07/07/2018,"5,132"
08/07/2018,"4,471"
09/07/2018,"8,294"
10/07/2018,"9,848"
11/07/2018,"10,875"
12/07/2018,"9,760"
13/07/2018,"7,990"
14/07/2018,"5,614"
15/07/2018,"4,940"
16/07/2018,"8,121"
17/07/2018,"9,353"
18/07/2018,"10,368"
19/07/2018,"9,718"
20/07/2018,"9,964"
21/07/2018,"5,266"
22/07/2018,"4,485"
23/07/2018,"8,014"
24/07/2018,"9,722"
25/07/2018,"10,779"
26/07/2018,"9,802"
27/07/2018,"10,110"
28/07/2018,"5,352"
29/07/2018,"4,113"
30/07/2018,"7,990"
31/07/2018,"10,255"
01/08/2018,"9,921"
02/08/2018,"9,574"
03/08/2018,"8,731"
04/08/2018,"6,228"
05/08/2018,"4,926"
06/08/2018,"8,503"
07/08/2018,"12,083"
08/08/2018,"15,555"
09/08/2018,"14,817"
10/08/2018,"13,258"
11/08/2018,"8,387"
12/08/2018,"7,234"
13/08/2018,"12,179"
14/08/2018,"12,104"
15/08/2018,"11,922"
16/08/2018,"12,888"
17/08/2018,"12,567"
18/08/2018,"8,488"
19/08/2018,"6,170"
20/08/2018,"10,720"
21/08/2018,"14,063"
22/08/2018,"13,529"
23/08/2018,"14,033"
24/08/2018,"12,579"
25/08/2018,"8,049"
26/08/2018,"7,056"
27/08/2018,"11,385"
28/08/2018,"14,092"
29/08/2018,"13,158"
30/08/2018,"13,292"
31/08/2018,"12,621"
01/09/2018,"8,227"
02/09/2018,"5,574"
03/09/2018,"10,438"
04/09/2018,"13,957"
05/09/2018,"14,530"
06/09/2018,"14,476"
07/09/2018,"13,919"
08/09/2018,"7,839"
09/09/2018,"6,627"
10/09/2018,"11,711"
11/09/2018,"15,984"
12/09/2018,"25,954"
13/09/2018,"15,461"
14/09/2018,"13,882"
15/09/2018,"8,457"
16/09/2018,"7,892"
17/09/2018,"13,584"
18/09/2018,"17,315"
19/09/2018,"16,148"
20/09/2018,"17,582"
21/09/2018,"15,955"
22/09/2018,"9,808"
23/09/2018,"8,496"
24/09/2018,"12,934"
25/09/2018,"17,556"
26/09/2018,"16,428"
27/09/2018,"17,198"
28/09/2018,"14,610"
29/09/2018,"9,701"
30/09/2018,"7,628"
01/10/2018,"13,385"
02/10/2018,"17,292"
03/10/2018,"15,622"
04/10/2018,"15,524"
05/10/2018,"14,702"
06/10/2018,"10,273"
07/10/2018,"7,243"
08/10/2018,"14,007"
09/10/2018,"17,101"
10/10/2018,"17,378"
11/10/2018,"15,869"
12/10/2018,"14,137"
13/10/2018,"10,700"
14/10/2018,"8,561"
15/10/2018,"13,339"
16/10/2018,"17,980"
17/10/2018,"17,490"
18/10/2018,"16,133"
19/10/2018,"14,823"
20/10/2018,"9,930"
21/10/2018,"9,073"
22/10/2018,"13,316"
23/10/2018,"19,367"
24/10/2018,"18,391"
25/10/2018,"18,930"
26/10/2018,"16,523"
27/10/2018,"11,826"
28/10/2018,"9,957"
29/10/2018,"15,937"
30/10/2018,"20,806"
31/10/2018,"17,862"
01/11/2018,"16,070"
02/11/2018,"16,039"
03/11/2018,"10,388"
04/11/2018,"8,643"
05/11/2018,"13,961"
06/11/2018,"18,571"
07/11/2018,"17,149"
08/11/2018,"16,553"
09/11/2018,"16,123"
10/11/2018,"12,528"
11/11/2018,"9,640"
12/11/2018,"16,550"
13/11/2018,"20,161"
14/11/2018,"18,096"
15/11/2018,"18,180"
16/11/2018,"16,382"
17/11/2018,"11,021"
18/11/2018,"9,479"
19/11/2018,"13,672"
20/11/2018,"18,317"
21/11/2018,"17,431"
22/11/2018,"16,367"
23/11/2018,"12,859"
24/11/2018,"9,877"
25/11/2018,"10,346"
26/11/2018,"16,144"
27/11/2018,"20,806"
28/11/2018,"21,365"
29/11/2018,"18,217"
30/11/2018,"18,734"
01/12/2018,"12,066"
02/12/2018,"10,213"
03/12/2018,"15,424"
04/12/2018,"20,527"
05/12/2018,"19,637"
06/12/2018,"18,396"
07/12/2018,"18,011"
08/12/2018,"12,722"
09/12/2018,"10,853"
10/12/2018,"16,157"
11/12/2018,"20,699"
12/12/2018,"17,478"
13/12/2018,"18,034"
14/12/2018,"14,736"
15/12/2018,"10,897"
16/12/2018,"7,833"
17/12/2018,"13,623"
18/12/2018,"16,415"
19/12/2018,"16,812"
20/12/2018,"15,292"
21/12/2018,"13,308"
22/12/2018,"8,230"
23/12/2018,"5,747"
24/12/2018,"7,056"
25/12/2018,"5,933"
26/12/2018,"7,581"
27/12/2018,"10,447"
28/12/2018,"10,627"
29/12/2018,"7,810"
30/12/2018,"6,067"
31/12/2018,"6,908"
01/01/2019,"5,871"
02/01/2019,"9,547"
03/01/2019,"14,858"
04/01/2019,"14,804"
05/01/2019,"11,473"
06/01/2019,"8,506"
07/01/2019,"13,465"
08/01/2019,"18,288"
09/01/2019,"20,438"
10/01/2019,"18,595"
11/01/2019,"17,515"
12/01/2019,"10,716"
13/01/2019,"8,375"
14/01/2019,"14,197"
15/01/2019,"16,712"
16/01/2019,"16,567"
17/01/2019,"17,014"
18/01/2019,"13,845"
19/01/2019,"8,158"
20/01/2019,"6,408"
21/01/2019,"11,136"
22/01/2019,"14,123"
23/01/2019,"15,464"
24/01/2019,"14,983"
25/01/2019,"16,725"
26/01/2019,"9,955"
27/01/2019,"8,013"
28/01/2019,"12,228"
29/01/2019,"16,153"
30/01/2019,"15,812"
31/01/2019,"14,105"
01/02/2019,"13,710"
02/02/2019,"9,439"
03/02/2019,"7,915"
04/02/2019,"11,154"
05/02/2019,"15,750"
06/02/2019,"15,847"
07/02/2019,"15,712"
08/02/2019,"14,762"
09/02/2019,"10,031"
10/02/2019,"7,211"
11/02/2019,"12,181"
12/02/2019,"16,460"
13/02/2019,"15,862"
14/02/2019,"16,167"
15/02/2019,"13,632"
16/02/2019,"9,949"
17/02/2019,"7,490"
18/02/2019,"11,777"
19/02/2019,"16,966"
20/02/2019,"16,217"
21/02/2019,"14,909"
22/02/2019,"14,217"
23/02/2019,"10,774"
24/02/2019,"7,898"
25/02/2019,"13,227"
26/02/2019,"17,479"
27/02/2019,"17,779"
28/02/2019,"15,429"
01/03/2019,"14,603"
02/03/2019,"11,004"
03/03/2019,"9,098"
04/03/2019,"13,096"
05/03/2019,"17,665"
06/03/2019,"18,767"
07/03/2019,"18,614"
08/03/2019,"17,835"
09/03/2019,"11,803"
10/03/2019,"9,442"
11/03/2019,"14,443"
12/03/2019,"19,166"
13/03/2019,"17,412"
14/03/2019,"16,935"
15/03/2019,"17,262"
16/03/2019,"11,984"
17/03/2019,"9,495"
18/03/2019,"14,395"
19/03/2019,"18,204"
20/03/2019,"19,262"
21/03/2019,"16,125"
22/03/2019,"15,156"
23/03/2019,"11,795"
24/03/2019,"8,784"
25/03/2019,"15,556"
26/03/2019,"19,781"
27/03/2019,"19,953"
28/03/2019,"18,347"
29/03/2019,"17,153"
30/03/2019,"12,765"
31/03/2019,"10,250"
01/04/2019,"17,072"
02/04/2019,"20,995"
03/04/2019,"19,450"
04/04/2019,"17,887"
05/04/2019,"19,428"
06/04/2019,"11,404"
07/04/2019,"10,407"
08/04/2019,"15,568"
09/04/2019,"20,644"
10/04/2019,"21,468"
11/04/2019,"20,519"
12/04/2019,"18,990"
13/04/2019,"12,416"
14/04/2019,"10,296"
15/04/2019,"16,490"
16/04/2019,"19,145"
17/04/2019,"19,179"
18/04/2019,"16,343"
19/04/2019,"13,990"
20/04/2019,"9,240"
21/04/2019,"8,136"
22/04/2019,"12,236"
23/04/2019,"20,215"
24/04/2019,"21,786"
25/04/2019,"18,714"
26/04/2019,"18,813"
27/04/2019,"12,720"
28/04/2019,"12,576"
29/04/2019,"15,079"
30/04/2019,"20,035"
01/05/2019,"16,227"
02/05/2019,"17,583"
03/05/2019,"18,358"
04/05/2019,"12,248"
05/05/2019,"12,195"
06/05/2019,"16,920"
07/05/2019,"20,561"
08/05/2019,"19,776"
09/05/2019,"18,354"
10/05/2019,"19,108"
11/05/2019,"10,016"
12/05/2019,"8,227"
13/05/2019,"14,022"
14/05/2019,"16,606"
15/05/2019,"15,962"
16/05/2019,"14,969"
17/05/2019,"14,860"
18/05/2019,"9,439"
19/05/2019,"9,457"
20/05/2019,"13,796"
21/05/2019,"17,925"
22/05/2019,"18,477"
23/05/2019,"17,120"
24/05/2019,"15,920"
25/05/2019,"9,905"
26/05/2019,"10,077"
27/05/2019,"14,505"
28/05/2019,"15,567"
29/05/2019,"16,871"
30/05/2019,"16,032"
31/05/2019,"15,905"
01/06/2019,"9,846"
02/06/2019,"8,365"
03/06/2019,"16,006"
04/06/2019,"18,049"
05/06/2019,"17,240"
06/06/2019,"17,703"
07/06/2019,"16,372"
08/06/2019,"12,363"
09/06/2019,"12,376"
10/06/2019,"14,554"
11/06/2019,"16,335"
12/06/2019,"16,167"
13/06/2019,"14,658"
14/06/2019,"14,350"
15/06/2019,"9,754"
16/06/2019,"6,295"
17/06/2019,"12,869"
18/06/2019,"15,774"
19/06/2019,"15,665"
20/06/2019,"14,616"
21/06/2019,"13,345"
22/06/2019,"10,023"
23/06/2019,"8,530"
24/06/2019,"14,194"
25/06/2019,"17,061"
26/06/2019,"15,822"
27/06/2019,"15,874"
28/06/2019,"13,308"
29/06/2019,"8,044"
30/06/2019,"5,928"
01/07/2019,"12,716"
02/07/2019,"16,912"
03/07/2019,"15,759"
04/07/2019,"16,299"
05/07/2019,"11,090"
06/07/2019,"8,260"
07/07/2019,"6,495"
08/07/2019,"12,666"
09/07/2019,"16,540"
10/07/2019,"16,305"
11/07/2019,"15,681"
12/07/2019,"15,080"
13/07/2019,"9,091"
14/07/2019,"6,303"
15/07/2019,"13,080"
16/07/2019,"16,518"
17/07/2019,"17,999"
18/07/2019,"17,331"
19/07/2019,"17,363"
20/07/2019,"9,650"
21/07/2019,"8,592"
22/07/2019,"16,095"
23/07/2019,"18,117"
24/07/2019,"18,389"
25/07/2019,"17,361"
26/07/2019,"15,902"
27/07/2019,"9,338"
28/07/2019,"7,379"
29/07/2019,"13,357"
30/07/2019,"18,073"
31/07/2019,"18,004"
01/08/2019,"16,157"
02/08/2019,"15,241"
03/08/2019,"10,455"
04/08/2019,"7,912"
05/08/2019,"13,620"
06/08/2019,"17,834"
07/08/2019,"18,680"
08/08/2019,"16,840"
09/08/2019,"16,893"
10/08/2019,"10,738"
11/08/2019,"8,069"
12/08/2019,"12,624"
13/08/2019,"17,703"
14/08/2019,"17,640"
15/08/2019,"16,193"
16/08/2019,"15,682"
17/08/2019,"11,135"
18/08/2019,"7,890"
19/08/2019,"14,174"
20/08/2019,"18,603"
21/08/2019,"18,993"
22/08/2019,"17,879"
23/08/2019,"15,738"
24/08/2019,"9,441"
25/08/2019,"9,039"
26/08/2019,"16,109"
27/08/2019,"19,284"
28/08/2019,"19,314"
29/08/2019,"18,878"
30/08/2019,"17,292"
31/08/2019,"11,660"
01/09/2019,"8,553"
02/09/2019,"14,211"
03/09/2019,"19,230"
04/09/2019,"21,265"
05/09/2019,"20,544"
06/09/2019,"20,990"
07/09/2019,"12,002"
08/09/2019,"9,405"
09/09/2019,"17,296"
10/09/2019,"20,415"
11/09/2019,"21,944"
12/09/2019,"18,952"
13/09/2019,"18,048"
14/09/2019,"11,696"
15/09/2019,"10,215"
16/09/2019,"18,223"
17/09/2019,"23,831"
18/09/2019,"23,541"
19/09/2019,"22,315"
20/09/2019,"20,564"
21/09/2019,"12,795"
22/09/2019,"12,261"
23/09/2019,"19,264"
24/09/2019,"23,612"
25/09/2019,"22,253"
26/09/2019,"22,779"
27/09/2019,"18,841"
28/09/2019,"12,000"
29/09/2019,"11,430"
30/09/2019,"19,076"
01/10/2019,"22,784"
02/10/2019,"21,930"
03/10/2019,"21,022"
04/10/2019,"20,961"
05/10/2019,"13,959"
06/10/2019,"12,522"
07/10/2019,"21,376"
08/10/2019,"26,752"
09/10/2019,"25,700"
10/10/2019,"23,543"
11/10/2019,"22,305"
12/10/2019,"14,337"
13/10/2019,"11,666"
14/10/2019,"18,767"
15/10/2019,"23,489"
16/10/2019,"25,620"
17/10/2019,"23,675"
18/10/2019,"23,557"
19/10/2019,"14,180"
20/10/2019,"12,346"
21/10/2019,"19,644"
22/10/2019,"27,047"
23/10/2019,"25,946"
24/10/2019,"22,358"
25/10/2019,"23,587"
26/10/2019,"14,039"
27/10/2019,"12,240"
28/10/2019,"17,539"
29/10/2019,"25,323"
30/10/2019,"25,711"
31/10/2019,"23,734"
01/11/2019,"19,692"
02/11/2019,"14,053"
03/11/2019,"12,418"
04/11/2019,"21,260"
05/11/2019,"23,484"
06/11/2019,"23,844"
07/11/2019,"24,454"
08/11/2019,"22,042"
09/11/2019,"14,835"
10/11/2019,"11,937"
11/11/2019,"20,566"
12/11/2019,"27,805"
13/11/2019,"27,322"
14/11/2019,"22,607"
15/11/2019,"20,129"
16/11/2019,"14,051"
17/11/2019,"11,907"
18/11/2019,"17,601"
19/11/2019,"25,749"
20/11/2019,"25,707"
21/11/2019,"22,689"
22/11/2019,"25,061"
23/11/2019,"14,444"
24/11/2019,"11,808"
25/11/2019,"20,604"
26/11/2019,"24,925"
27/11/2019,"23,067"
28/11/2019,"20,563"
29/11/2019,"17,068"
30/11/2019,"13,535"
01/12/2019,"12,736"
02/12/2019,"18,533"
03/12/2019,"23,746"
04/12/2019,"22,622"
05/12/2019,"21,724"
06/12/2019,"20,211"
07/12/2019,"14,514"
08/12/2019,"12,720"
09/12/2019,"21,804"
10/12/2019,"25,822"
11/12/2019,"23,780"
12/12/2019,"22,018"
13/12/2019,"21,909"
14/12/2019,"13,277"
15/12/2019,"10,290"
16/12/2019,"16,470"
17/12/2019,"22,903"
18/12/2019,"22,510"
19/12/2019,"18,307"
20/12/2019,"18,107"
21/12/2019,"9,906"
22/12/2019,"7,270"
23/12/2019,"11,622"
24/12/2019,"12,496"
25/12/2019,"7,898"
26/12/2019,"9,126"
27/12/2019,"11,049"
28/12/2019,"10,092"
29/12/2019,"8,927"
30/12/2019,"12,896"
31/12/2019,"12,397"
01/01/2020,"7,241"
02/01/2020,"10,798"
03/01/2020,"16,420"
04/01/2020,"12,152"
05/01/2020,"10,254"
06/01/2020,"14,639"
07/01/2020,"20,765"
08/01/2020,"20,925"
09/01/2020,"18,997"
10/01/2020,"17,494"
11/01/2020,"12,837"
12/01/2020,"9,386"
13/01/2020,"16,324"
14/01/2020,"23,331"
15/01/2020,"19,496"
16/01/2020,"19,146"
17/01/2020,"19,455"
18/01/2020,"15,742"
19/01/2020,"9,765"
20/01/2020,"15,568"
21/01/2020,"20,802"
22/01/2020,"23,278"
23/01/2020,"20,425"
24/01/2020,"18,329"
25/01/2020,"10,810"
26/01/2020,"8,761"
27/01/2020,"14,031"
28/01/2020,"21,695"
29/01/2020,"22,101"
30/01/2020,"21,969"
31/01/2020,"20,173"
01/02/2020,"13,420"
02/02/2020,"10,889"
03/02/2020,"18,437"
04/02/2020,"25,127"
05/02/2020,"24,121"
06/02/2020,"21,884"
07/02/2020,"19,932"
08/02/2020,"12,976"
09/02/2020,"11,179"
10/02/2020,"20,005"
11/02/2020,"24,161"
12/02/2020,"25,453"
13/02/2020,"23,469"
14/02/2020,"22,417"
15/02/2020,"13,793"
16/02/2020,"12,745"
17/02/2020,"19,378"
18/02/2020,"24,904"
19/02/2020,"24,761"
20/02/2020,"23,792"
21/02/2020,"21,606"
22/02/2020,"14,685"
23/02/2020,"11,579"
24/02/2020,"18,860"
25/02/2020,"25,575"
26/02/2020,"26,384"
27/02/2020,"26,094"
28/02/2020,"24,459"
29/02/2020,"15,885"
01/03/2020,"13,016"
02/03/2020,"21,678"
03/03/2020,"28,805"
04/03/2020,"25,950"
05/03/2020,"26,010"
06/03/2020,"24,734"
07/03/2020,"16,073"
08/03/2020,"14,443"
09/03/2020,"22,294"
10/03/2020,"29,038"
11/03/2020,"28,314"
12/03/2020,"26,194"
13/03/2020,"23,473"
14/03/2020,"17,213"
15/03/2020,"17,134"
16/03/2020,"22,404"
17/03/2020,"21,278"
18/03/2020,"21,101"
19/03/2020,"21,716"
20/03/2020,"19,805"
21/03/2020,"14,958"
22/03/2020,"14,963"
23/03/2020,"21,531"
24/03/2020,"22,634"
25/03/2020,"22,329"
26/03/2020,"23,714"
27/03/2020,"23,637"
28/03/2020,"17,508"
29/03/2020,"17,012"
30/03/2020,"23,798"
31/03/2020,"28,579"
01/04/2020,"29,725"
02/04/2020,"31,138"
03/04/2020,"27,397"
04/04/2020,"20,277"
05/04/2020,"20,866"
06/04/2020,"25,804"
07/04/2020,"28,049"
08/04/2020,"27,334"
09/04/2020,"25,572"
10/04/2020,"24,128"
11/04/2020,"19,566"
12/04/2020,"19,795"
13/04/2020,"26,069"
14/04/2020,"29,308"
15/04/2020,"28,367"
16/04/2020,"28,644"
17/04/2020,"28,783"
18/04/2020,"20,997"
19/04/2020,"21,635"
20/04/2020,"29,222"
21/04/2020,"32,660"
22/04/2020,"32,864"
23/04/2020,"31,845"
24/04/2020,"31,448"
25/04/2020,"24,815"
26/04/2020,"25,029"
27/04/2020,"30,917"
28/04/2020,"32,715"
29/04/2020,"30,593"
30/04/2020,"28,440"
01/05/2020,"26,423"
02/05/2020,"23,595"
03/05/2020,"23,060"
04/05/2020,"29,169"
05/05/2020,"30,373"
06/05/2020,"32,334"
07/05/2020,"30,077"
08/05/2020,"29,563"
09/05/2020,"22,045"
10/05/2020,"23,063"
11/05/2020,"30,194"
12/05/2020,"32,617"
13/05/2020,"32,297"
14/05/2020,"30,434"
15/05/2020,"26,388"
16/05/2020,"20,039"
17/05/2020,"19,520"
18/05/2020,"25,486"
19/05/2020,"28,558"
20/05/2020,"27,078"
21/05/2020,"25,578"
22/05/2020,"24,757"
23/05/2020,"18,899"
24/05/2020,"17,933"
25/05/2020,"23,432"
26/05/2020,"26,241"
27/05/2020,"26,580"
28/05/2020,"25,904"
29/05/2020,"25,277"
30/05/2020,"18,321"
31/05/2020,"18,750"
01/06/2020,"25,024"
02/06/2020,"28,404"
03/06/2020,"28,748"
04/06/2020,"27,435"
05/06/2020,"24,290"
06/06/2020,"18,513"
07/06/2020,"16,012"
08/06/2020,"23,066"
09/06/2020,"25,958"
10/06/2020,"26,382"
11/06/2020,"26,879"
12/06/2020,"26,336"
13/06/2020,"19,875"
14/06/2020,"17,993"
15/06/2020,"23,090"
16/06/2020,"25,701"
17/06/2020,"24,681"
18/06/2020,"25,505"
19/06/2020,"22,612"
20/06/2020,"16,455"
21/06/2020,"15,342"
22/06/2020,"21,092"
23/06/2020,"24,657"
24/06/2020,"23,449"
25/06/2020,"21,536"
26/06/2020,"20,460"
27/06/2020,"16,279"
28/06/2020,"19,709"
29/06/2020,"24,662"
30/06/2020,"27,398"
01/07/2020,"28,468"
02/07/2020,"28,678"
03/07/2020,"21,097"
04/07/2020,"13,532"
05/07/2020,"12,692"
06/07/2020,"18,949"
07/07/2020,"23,823"
08/07/2020,"14,356"
09/07/2020,"19,391"
10/07/2020,"18,972"
11/07/2020,"13,354"
12/07/2020,"11,732"
13/07/2020,"17,521"
14/07/2020,"20,189"
15/07/2020,"20,939"
16/07/2020,"20,237"
17/07/2020,"17,769"
18/07/2020,"13,669"
19/07/2020,"11,971"
20/07/2020,"18,295"
21/07/2020,"20,139"
22/07/2020,"19,103"
23/07/2020,"19,577"
24/07/2020,"18,893"
25/07/2020,"12,382"
26/07/2020,"11,413"
27/07/2020,"16,730"
28/07/2020,"19,870"
29/07/2020,"19,997"
30/07/2020,"19,525"
31/07/2020,"16,919"
01/08/2020,"11,073"
02/08/2020,"10,295"
03/08/2020,"15,295"
04/08/2020,"19,133"
05/08/2020,"19,661"
06/08/2020,"19,838"
07/08/2020,"19,098"
08/08/2020,"12,674"
09/08/2020,"11,176"
10/08/2020,"18,901"
11/08/2020,"19,085"
12/08/2020,"19,639"
13/08/2020,"13,235"
14/08/2020,"14,311"
15/08/2020,"13,246"
16/08/2020,"11,775"
17/08/2020,"17,565"
18/08/2020,"20,509"
19/08/2020,"19,700"
20/08/2020,"19,223"
21/08/2020,"19,311"
22/08/2020,"13,539"
23/08/2020,"12,543"
24/08/2020,"18,606"
25/08/2020,"21,003"
26/08/2020,"21,946"
27/08/2020,"19,966"
28/08/2020,"18,203"
29/08/2020,"14,039"
30/08/2020,"12,557"
31/08/2020,"17,860"
01/09/2020,"20,957"
02/09/2020,"22,012"
03/09/2020,"22,214"
04/09/2020,"22,123"
05/09/2020,"13,936"
06/09/2020,"14,057"
07/09/2020,"18,777"
08/09/2020,"22,111"
09/09/2020,"24,311"
10/09/2020,"24,047"
11/09/2020,"22,724"
12/09/2020,"15,672"
13/09/2020,"13,864"
14/09/2020,"22,552"
15/09/2020,"27,262"
16/09/2020,"24,794"
17/09/2020,"24,865"
18/09/2020,"21,880"
19/09/2020,"16,271"
20/09/2020,"14,692"
21/09/2020,"21,964"
22/09/2020,"26,608"
23/09/2020,"25,930"
24/09/2020,"25,660"
25/09/2020,"24,046"
26/09/2020,"16,032"
27/09/2020,"14,920"
28/09/2020,"22,430"
29/09/2020,"25,723"
30/09/2020,"24,726"
01/10/2020,"23,402"
02/10/2020,"21,425"
03/10/2020,"14,962"
04/10/2020,"13,741"
05/10/2020,"22,598"
06/10/2020,"25,934"
07/10/2020,"25,658"
08/10/2020,"24,377"
09/10/2020,"25,323"
10/10/2020,"17,557"
11/10/2020,"15,994"
12/10/2020,"21,626"
13/10/2020,"25,437"
14/10/2020,"27,044"
15/10/2020,"26,540"
16/10/2020,"24,481"
17/10/2020,"19,139"
18/10/2020,"17,356"
19/10/2020,"22,961"
20/10/2020,"27,628"
21/10/2020,"26,894"
22/10/2020,"27,405"
23/10/2020,"24,311"
24/10/2020,"19,173"
25/10/2020,"15,822"
26/10/2020,"21,609"
27/10/2020,"27,672"
28/10/2020,"26,997"
29/10/2020,"26,475"
30/10/2020,"25,257"
31/10/2020,"18,037"
01/11/2020,"15,190"
02/11/2020,"23,445"
03/11/2020,"26,440"
04/11/2020,"24,679"
05/11/2020,"23,878"
06/11/2020,"23,411"
07/11/2020,"18,788"
08/11/2020,"16,463"
09/11/2020,"25,360"
10/11/2020,"28,791"
11/11/2020,"25,274"
12/11/2020,"26,912"
13/11/2020,"26,043"
14/11/2020,"17,791"
15/11/2020,"15,485"
16/11/2020,"23,789"
17/11/2020,"26,931"
18/11/2020,"27,221"
19/11/2020,"28,073"
20/11/2020,"27,446"
21/11/2020,"18,864"
22/11/2020,"18,041"
23/11/2020,"23,970"
24/11/2020,"28,812"
25/11/2020,"27,563"
26/11/2020,"25,866"
27/11/2020,"21,739"
28/11/2020,"18,277"
29/11/2020,"16,897"
30/11/2020,"24,475"
01/12/2020,"29,436"
02/12/2020,"27,437"
03/12/2020,"29,932"
